!!SBtab TableName='Reaction' TableType='Reaction' Document='reducedYeast_ECM' Date='2018-11-23' SBtabVersion='1.0'								
!ID	!ReactionFormula	!Name	!NameForPlots	!Identifiers:kegg.reaction	!IsReversible	!Gene	!KineticLaw:Name	!KineticLaw:Formula
GAL1	ATP_c_ + GAL_c_ <=> ADP_c_ + GALP_c_	GAL1	GAL1	R01092	TRUE	YGR192C	Common saturable (CM)	u_R1 * ( kC_R1 * sqrt( kEQ_R1  * kM_R1_ATP_c_ * kM_R1_GAL_c_ / kM_R1_ADP_c_ / kM_R1_GALP_c_ ) * ( ATP_c_ / kM_R1_ATP_c_ ) * ( GAL_c_ / kM_R1_GAL_c_ ) - kC_R1 / sqrt( kEQ_R1  * kM_R1_ATP_c_ * kM_R1_GAL_c_ / kM_R1_ADP_c_ / kM_R1_GALP_c_ ) * ( ADP_c_ / kM_R1_ADP_c_ ) * ( GALP_c_ / kM_R1_GALP_c_ ) ) / ( ( 1 + ATP_c_ / kM_R1_ATP_c_ ) * ( 1 + GAL_c_ / kM_R1_GAL_c_ ) + ( 1 + ADP_c_ / kM_R1_ADP_c_ ) * ( 1 + GALP_c_ / kM_R1_GALP_c_ ) - 1 )
MLS1	ACCOA_m_ + Glyoxylate_m_ + H2O_m_ <=> MAL_m_ + COA_m_	MLS1	MLS1	R00472	TRUE	YOR347C	Common saturable (CM)	u_R31 * ( kC_R31 * sqrt( kEQ_R31  * kM_R31_ACCOA_m_ * kM_R31_Glyoxylate_m_ * kM_R31_H2O_m_ / kM_R31_MAL_m_ / kM_R31_COA_m_ ) * ( ACCOA_m_ / kM_R31_ACCOA_m_ ) * ( Glyoxylate_m_ / kM_R31_Glyoxylate_m_ ) * ( H2O_m_ / kM_R31_H2O_m_ ) - kC_R31 / sqrt( kEQ_R31  * kM_R31_ACCOA_m_ * kM_R31_Glyoxylate_m_ * kM_R31_H2O_m_ / kM_R31_MAL_m_ / kM_R31_COA_m_ ) * ( MAL_m_ / kM_R31_MAL_m_ ) * ( COA_m_ / kM_R31_COA_m_ ) ) / ( ( 1 + ACCOA_m_ / kM_R31_ACCOA_m_ ) * ( 1 + Glyoxylate_m_ / kM_R31_Glyoxylate_m_ ) * ( 1 + H2O_m_ / kM_R31_H2O_m_ ) + ( 1 + MAL_m_ / kM_R31_MAL_m_ ) * ( 1 + COA_m_ / kM_R31_COA_m_ ) - 1 )
PDH	COA_m_ + NAD_m_ + PYR_m_ <=> ACCOA_m_ + CO2_m_ + NADH_m_	PDH	PDH	R00209	TRUE	YPL262W	Common saturable (CM)	u_R32 * ( kC_R32 * sqrt( kEQ_R32  * kM_R32_COA_m_ * kM_R32_NAD_m_ * kM_R32_PYR_m_ / kM_R32_ACCOA_m_ / kM_R32_CO2_m_ / kM_R32_NADH_m_ ) * ( COA_m_ / kM_R32_COA_m_ ) * ( NAD_m_ / kM_R32_NAD_m_ ) * ( PYR_m_ / kM_R32_PYR_m_ ) - kC_R32 / sqrt( kEQ_R32  * kM_R32_COA_m_ * kM_R32_NAD_m_ * kM_R32_PYR_m_ / kM_R32_ACCOA_m_ / kM_R32_CO2_m_ / kM_R32_NADH_m_ ) * ( ACCOA_m_ / kM_R32_ACCOA_m_ ) * ( CO2_m_ / kM_R32_CO2_m_ ) * ( NADH_m_ / kM_R32_NADH_m_ ) ) / ( ( 1 + COA_m_ / kM_R32_COA_m_ ) * ( 1 + NAD_m_ / kM_R32_NAD_m_ ) * ( 1 + PYR_m_ / kM_R32_PYR_m_ ) + ( 1 + ACCOA_m_ / kM_R32_ACCOA_m_ ) * ( 1 + CO2_m_ / kM_R32_CO2_m_ ) * ( 1 + NADH_m_ / kM_R32_NADH_m_ ) - 1 )
ACS	AC_c_ + ATP_c_ + COA_c_ + H2O_c_ <=> ACCOA_c_ + AMP_c_ + 2 PI_c_	ACS	ACS	R00235	TRUE	YPR001W	Common saturable (CM)	"u_R33 * ( kC_R33 * sqrt( kEQ_R33  * kM_R33_AC_c_ * kM_R33_ATP_c_ * kM_R33_COA_c_ * kM_R33_H2O_c_ / kM_R33_ACCOA_c_ / kM_R33_AMP_c_ / power( kM_R33_PI_c_ , 2 ) ) * ( AC_c_ / kM_R33_AC_c_ ) * ( ATP_c_ / kM_R33_ATP_c_ ) * ( COA_c_ / kM_R33_COA_c_ ) * ( H2O_c_ / kM_R33_H2O_c_ ) - kC_R33 / sqrt( kEQ_R33  * kM_R33_AC_c_ * kM_R33_ATP_c_ * kM_R33_COA_c_ * kM_R33_H2O_c_ / kM_R33_ACCOA_c_ / kM_R33_AMP_c_ / power( kM_R33_PI_c_ , 2 ) ) * ( ACCOA_c_ / kM_R33_ACCOA_c_ ) * ( AMP_c_ / kM_R33_AMP_c_ ) * power( PI_c_ / kM_R33_PI_c_ , 2 ) ) / ( ( 1 + AC_c_ / kM_R33_AC_c_ ) * ( 1 + ATP_c_ / kM_R33_ATP_c_ ) * ( 1 + COA_c_ / kM_R33_COA_c_ ) * ( 1 + H2O_c_ / kM_R33_H2O_c_ ) + ( 1 + ACCOA_c_ / kM_R33_ACCOA_c_ ) * ( 1 + AMP_c_ / kM_R33_AMP_c_ ) * power( 1 + PI_c_ / kM_R33_PI_c_ , 2 ) - 1 )"
ADK1_1	ATP_c_ + AMP_c_ <=> 2 ADP_c_	ADK1_1	ADK1_1	R00127	TRUE	YPR074C	Common saturable (CM)	"u_R34 * ( kC_R34 * sqrt( kEQ_R34  * kM_R34_ATP_c_ * kM_R34_AMP_c_ / power( kM_R34_ADP_c_ , 2 ) ) * ( ATP_c_ / kM_R34_ATP_c_ ) * ( AMP_c_ / kM_R34_AMP_c_ ) - kC_R34 / sqrt( kEQ_R34  * kM_R34_ATP_c_ * kM_R34_AMP_c_ / power( kM_R34_ADP_c_ , 2 ) ) * power( ADP_c_ / kM_R34_ADP_c_ , 2 ) ) / ( ( 1 + ATP_c_ / kM_R34_ATP_c_ ) * ( 1 + AMP_c_ / kM_R34_AMP_c_ ) + power( 1 + ADP_c_ / kM_R34_ADP_c_ , 2 ) - 1 )"
PCK	ATP_c_ + OAA_c_ <=> ADP_c_ + CO2_c_ + PEP_c_	PCK	PCK	R00341	TRUE	YOR393W	Common saturable (CM)	u_R35 * ( kC_R35 * sqrt( kEQ_R35  * kM_R35_ATP_c_ * kM_R35_OAA_c_ / kM_R35_ADP_c_ / kM_R35_CO2_c_ / kM_R35_PEP_c_ ) * ( ATP_c_ / kM_R35_ATP_c_ ) * ( OAA_c_ / kM_R35_OAA_c_ ) - kC_R35 / sqrt( kEQ_R35  * kM_R35_ATP_c_ * kM_R35_OAA_c_ / kM_R35_ADP_c_ / kM_R35_CO2_c_ / kM_R35_PEP_c_ ) * ( ADP_c_ / kM_R35_ADP_c_ ) * ( CO2_c_ / kM_R35_CO2_c_ ) * ( PEP_c_ / kM_R35_PEP_c_ ) ) / ( ( 1 + ATP_c_ / kM_R35_ATP_c_ ) * ( 1 + OAA_c_ / kM_R35_OAA_c_ ) + ( 1 + ADP_c_ / kM_R35_ADP_c_ ) * ( 1 + CO2_c_ / kM_R35_CO2_c_ ) * ( 1 + PEP_c_ / kM_R35_PEP_c_ ) - 1 )
PYC	ATP_c_ + PYR_c_ + HCO3_c_ <=> ADP_c_ + PI_c_ + OAA_c_	PYC	PYC	R00344	TRUE	YPL281C	Common saturable (CM)	u_R36 * ( kC_R36 * sqrt( kEQ_R36  * kM_R36_ATP_c_ * kM_R36_PYR_c_ * kM_R36_HCO3_c_ / kM_R36_ADP_c_ / kM_R36_PI_c_ / kM_R36_OAA_c_ ) * ( ATP_c_ / kM_R36_ATP_c_ ) * ( PYR_c_ / kM_R36_PYR_c_ ) * ( HCO3_c_ / kM_R36_HCO3_c_ ) - kC_R36 / sqrt( kEQ_R36  * kM_R36_ATP_c_ * kM_R36_PYR_c_ * kM_R36_HCO3_c_ / kM_R36_ADP_c_ / kM_R36_PI_c_ / kM_R36_OAA_c_ ) * ( ADP_c_ / kM_R36_ADP_c_ ) * ( PI_c_ / kM_R36_PI_c_ ) * ( OAA_c_ / kM_R36_OAA_c_ ) ) / ( ( 1 + ATP_c_ / kM_R36_ATP_c_ ) * ( 1 + PYR_c_ / kM_R36_PYR_c_ ) * ( 1 + HCO3_c_ / kM_R36_HCO3_c_ ) + ( 1 + ADP_c_ / kM_R36_ADP_c_ ) * ( 1 + PI_c_ / kM_R36_PI_c_ ) * ( 1 + OAA_c_ / kM_R36_OAA_c_ ) - 1 )
CIT	ACCOA_m_ + OAA_m_ + H2O_m_ <=> CI_m_ + COA_m_	CIT	CIT		TRUE	YMR323W	Common saturable (CM)	u_R37 * ( kC_R37 * sqrt( kEQ_R37  * kM_R37_ACCOA_m_ * kM_R37_OAA_m_ * kM_R37_H2O_m_ / kM_R37_CI_m_ / kM_R37_COA_m_ ) * ( ACCOA_m_ / kM_R37_ACCOA_m_ ) * ( OAA_m_ / kM_R37_OAA_m_ ) * ( H2O_m_ / kM_R37_H2O_m_ ) - kC_R37 / sqrt( kEQ_R37  * kM_R37_ACCOA_m_ * kM_R37_OAA_m_ * kM_R37_H2O_m_ / kM_R37_CI_m_ / kM_R37_COA_m_ ) * ( CI_m_ / kM_R37_CI_m_ ) * ( COA_m_ / kM_R37_COA_m_ ) ) / ( ( 1 + ACCOA_m_ / kM_R37_ACCOA_m_ ) * ( 1 + OAA_m_ / kM_R37_OAA_m_ ) * ( 1 + H2O_m_ / kM_R37_H2O_m_ ) + ( 1 + CI_m_ / kM_R37_CI_m_ ) * ( 1 + COA_m_ / kM_R37_COA_m_ ) - 1 )
ACO	CI_m_ <=> ICI_m_	ACO	ACO		TRUE	YAL038W	Common saturable (CM)	u_R38 * ( kC_R38 * sqrt( kEQ_R38  * kM_R38_CI_m_ / kM_R38_ICI_m_ ) * ( CI_m_ / kM_R38_CI_m_ ) - kC_R38 / sqrt( kEQ_R38  * kM_R38_CI_m_ / kM_R38_ICI_m_ ) * ( ICI_m_ / kM_R38_ICI_m_ ) ) / ( ( 1 + CI_m_ / kM_R38_CI_m_ ) + ( 1 + ICI_m_ / kM_R38_ICI_m_ ) - 1 )
IDH	ICI_m_ + NAD_m_ <=> AKG_m_ + CO2_m_ + NADH_m_	IDH	IDH	R00709	TRUE	YMR170C	Common saturable (CM)	u_R39 * ( kC_R39 * sqrt( kEQ_R39  * kM_R39_ICI_m_ * kM_R39_NAD_m_ / kM_R39_AKG_m_ / kM_R39_CO2_m_ / kM_R39_NADH_m_ ) * ( ICI_m_ / kM_R39_ICI_m_ ) * ( NAD_m_ / kM_R39_NAD_m_ ) - kC_R39 / sqrt( kEQ_R39  * kM_R39_ICI_m_ * kM_R39_NAD_m_ / kM_R39_AKG_m_ / kM_R39_CO2_m_ / kM_R39_NADH_m_ ) * ( AKG_m_ / kM_R39_AKG_m_ ) * ( CO2_m_ / kM_R39_CO2_m_ ) * ( NADH_m_ / kM_R39_NADH_m_ ) ) / ( ( 1 + ICI_m_ / kM_R39_ICI_m_ ) * ( 1 + NAD_m_ / kM_R39_NAD_m_ ) + ( 1 + AKG_m_ / kM_R39_AKG_m_ ) * ( 1 + CO2_m_ / kM_R39_CO2_m_ ) * ( 1 + NADH_m_ / kM_R39_NADH_m_ ) - 1 )
IDPH	ICI_m_ + NADP_m_ <=> AKG_m_ + CO2_m_ + NADPH_m_	IDPH	IDPH		TRUE	YOR374W	Common saturable (CM)	u_R40 * ( kC_R40 * sqrt( kEQ_R40  * kM_R40_ICI_m_ * kM_R40_NADP_m_ / kM_R40_AKG_m_ / kM_R40_CO2_m_ / kM_R40_NADPH_m_ ) * ( ICI_m_ / kM_R40_ICI_m_ ) * ( NADP_m_ / kM_R40_NADP_m_ ) - kC_R40 / sqrt( kEQ_R40  * kM_R40_ICI_m_ * kM_R40_NADP_m_ / kM_R40_AKG_m_ / kM_R40_CO2_m_ / kM_R40_NADPH_m_ ) * ( AKG_m_ / kM_R40_AKG_m_ ) * ( CO2_m_ / kM_R40_CO2_m_ ) * ( NADPH_m_ / kM_R40_NADPH_m_ ) ) / ( ( 1 + ICI_m_ / kM_R40_ICI_m_ ) * ( 1 + NADP_m_ / kM_R40_NADP_m_ ) + ( 1 + AKG_m_ / kM_R40_AKG_m_ ) * ( 1 + CO2_m_ / kM_R40_CO2_m_ ) * ( 1 + NADPH_m_ / kM_R40_NADPH_m_ ) - 1 )
KGD1	AKG_m_ + COA_m_ + NAD_m_ <=> CO2_m_ + NADH_m_ + Succinyl_CoA_m_	KGD1	KGD1		TRUE	YER073W	Common saturable (CM)	u_R41 * ( kC_R41 * sqrt( kEQ_R41  * kM_R41_AKG_m_ * kM_R41_COA_m_ * kM_R41_NAD_m_ / kM_R41_CO2_m_ / kM_R41_NADH_m_ / kM_R41_Succinyl_CoA_m_ ) * ( AKG_m_ / kM_R41_AKG_m_ ) * ( COA_m_ / kM_R41_COA_m_ ) * ( NAD_m_ / kM_R41_NAD_m_ ) - kC_R41 / sqrt( kEQ_R41  * kM_R41_AKG_m_ * kM_R41_COA_m_ * kM_R41_NAD_m_ / kM_R41_CO2_m_ / kM_R41_NADH_m_ / kM_R41_Succinyl_CoA_m_ ) * ( CO2_m_ / kM_R41_CO2_m_ ) * ( NADH_m_ / kM_R41_NADH_m_ ) * ( Succinyl_CoA_m_ / kM_R41_Succinyl_CoA_m_ ) ) / ( ( 1 + AKG_m_ / kM_R41_AKG_m_ ) * ( 1 + COA_m_ / kM_R41_COA_m_ ) * ( 1 + NAD_m_ / kM_R41_NAD_m_ ) + ( 1 + CO2_m_ / kM_R41_CO2_m_ ) * ( 1 + NADH_m_ / kM_R41_NADH_m_ ) * ( 1 + Succinyl_CoA_m_ / kM_R41_Succinyl_CoA_m_ ) - 1 )
LSC2	ADP_m_ + PI_m_ + Succinyl_CoA_m_ <=> COA_m_ + SUC_m_ + ATP_m_	LSC2	LSC2	R00405	TRUE	YER065C	Common saturable (CM)	u_R42 * ( kC_R42 * sqrt( kEQ_R42  * kM_R42_ADP_m_ * kM_R42_PI_m_ * kM_R42_Succinyl_CoA_m_ / kM_R42_COA_m_ / kM_R42_SUC_m_ / kM_R42_ATP_m_ ) * ( ADP_m_ / kM_R42_ADP_m_ ) * ( PI_m_ / kM_R42_PI_m_ ) * ( Succinyl_CoA_m_ / kM_R42_Succinyl_CoA_m_ ) - kC_R42 / sqrt( kEQ_R42  * kM_R42_ADP_m_ * kM_R42_PI_m_ * kM_R42_Succinyl_CoA_m_ / kM_R42_COA_m_ / kM_R42_SUC_m_ / kM_R42_ATP_m_ ) * ( COA_m_ / kM_R42_COA_m_ ) * ( SUC_m_ / kM_R42_SUC_m_ ) * ( ATP_m_ / kM_R42_ATP_m_ ) ) / ( ( 1 + ADP_m_ / kM_R42_ADP_m_ ) * ( 1 + PI_m_ / kM_R42_PI_m_ ) * ( 1 + Succinyl_CoA_m_ / kM_R42_Succinyl_CoA_m_ ) + ( 1 + COA_m_ / kM_R42_COA_m_ ) * ( 1 + SUC_m_ / kM_R42_SUC_m_ ) * ( 1 + ATP_m_ / kM_R42_ATP_m_ ) - 1 )
FUM1	FUM_m_ + H2O_m_ <=> MAL_m_	FUM1	FUM1	R01082	TRUE	YIR031C	Common saturable (CM)	u_R43 * ( kC_R43 * sqrt( kEQ_R43  * kM_R43_FUM_m_ * kM_R43_H2O_m_ / kM_R43_MAL_m_ ) * ( FUM_m_ / kM_R43_FUM_m_ ) * ( H2O_m_ / kM_R43_H2O_m_ ) - kC_R43 / sqrt( kEQ_R43  * kM_R43_FUM_m_ * kM_R43_H2O_m_ / kM_R43_MAL_m_ ) * ( MAL_m_ / kM_R43_MAL_m_ ) ) / ( ( 1 + FUM_m_ / kM_R43_FUM_m_ ) * ( 1 + H2O_m_ / kM_R43_H2O_m_ ) + ( 1 + MAL_m_ / kM_R43_MAL_m_ ) - 1 )
MDH1	MAL_m_ + NAD_m_ <=> NADH_m_ + OAA_m_	MDH1	MDH1	R00342	TRUE	YNL117W	Common saturable (CM)	u_R44 * ( kC_R44 * sqrt( kEQ_R44  * kM_R44_MAL_m_ * kM_R44_NAD_m_ / kM_R44_NADH_m_ / kM_R44_OAA_m_ ) * ( MAL_m_ / kM_R44_MAL_m_ ) * ( NAD_m_ / kM_R44_NAD_m_ ) - kC_R44 / sqrt( kEQ_R44  * kM_R44_MAL_m_ * kM_R44_NAD_m_ / kM_R44_NADH_m_ / kM_R44_OAA_m_ ) * ( NADH_m_ / kM_R44_NADH_m_ ) * ( OAA_m_ / kM_R44_OAA_m_ ) ) / ( ( 1 + MAL_m_ / kM_R44_MAL_m_ ) * ( 1 + NAD_m_ / kM_R44_NAD_m_ ) + ( 1 + NADH_m_ / kM_R44_NADH_m_ ) * ( 1 + OAA_m_ / kM_R44_OAA_m_ ) - 1 )
SDH	SUC_m_ + ubiquinone_6_m_ <=> FUM_m_ + ubiquinol_6_m_	SDH	SDH		TRUE	YFL018C	Common saturable (CM)	u_R45 * ( kC_R45 * sqrt( kEQ_R45  * kM_R45_SUC_m_ * kM_R45_ubiquinone_6_m_ / kM_R45_FUM_m_ / kM_R45_ubiquinol_6_m_ ) * ( SUC_m_ / kM_R45_SUC_m_ ) * ( ubiquinone_6_m_ / kM_R45_ubiquinone_6_m_ ) - kC_R45 / sqrt( kEQ_R45  * kM_R45_SUC_m_ * kM_R45_ubiquinone_6_m_ / kM_R45_FUM_m_ / kM_R45_ubiquinol_6_m_ ) * ( FUM_m_ / kM_R45_FUM_m_ ) * ( ubiquinol_6_m_ / kM_R45_ubiquinol_6_m_ ) ) / ( ( 1 + SUC_m_ / kM_R45_SUC_m_ ) * ( 1 + ubiquinone_6_m_ / kM_R45_ubiquinone_6_m_ ) + ( 1 + FUM_m_ / kM_R45_FUM_m_ ) * ( 1 + ubiquinol_6_m_ / kM_R45_ubiquinol_6_m_ ) - 1 )
NDI1	NADH_m_ + ubiquinone_6_m_ <=> NAD_m_ + ubiquinol_6_m_	NDI1	NDI1		TRUE	YBR221C	Common saturable (CM)	u_R46 * ( kC_R46 * sqrt( kEQ_R46  * kM_R46_NADH_m_ * kM_R46_ubiquinone_6_m_ / kM_R46_NAD_m_ / kM_R46_ubiquinol_6_m_ ) * ( NADH_m_ / kM_R46_NADH_m_ ) * ( ubiquinone_6_m_ / kM_R46_ubiquinone_6_m_ ) - kC_R46 / sqrt( kEQ_R46  * kM_R46_NADH_m_ * kM_R46_ubiquinone_6_m_ / kM_R46_NAD_m_ / kM_R46_ubiquinol_6_m_ ) * ( NAD_m_ / kM_R46_NAD_m_ ) * ( ubiquinol_6_m_ / kM_R46_ubiquinol_6_m_ ) ) / ( ( 1 + NADH_m_ / kM_R46_NADH_m_ ) * ( 1 + ubiquinone_6_m_ / kM_R46_ubiquinone_6_m_ ) + ( 1 + NAD_m_ / kM_R46_NAD_m_ ) * ( 1 + ubiquinol_6_m_ / kM_R46_ubiquinol_6_m_ ) - 1 )
NDE2	NADH_c_ + ubiquinone_6_m_ <=> NAD_c_ + ubiquinol_6_m_	NDE2	NDE2		TRUE	YKL148C	Common saturable (CM)	u_R47 * ( kC_R47 * sqrt( kEQ_R47  * kM_R47_NADH_c_ * kM_R47_ubiquinone_6_m_ / kM_R47_NAD_c_ / kM_R47_ubiquinol_6_m_ ) * ( NADH_c_ / kM_R47_NADH_c_ ) * ( ubiquinone_6_m_ / kM_R47_ubiquinone_6_m_ ) - kC_R47 / sqrt( kEQ_R47  * kM_R47_NADH_c_ * kM_R47_ubiquinone_6_m_ / kM_R47_NAD_c_ / kM_R47_ubiquinol_6_m_ ) * ( NAD_c_ / kM_R47_NAD_c_ ) * ( ubiquinol_6_m_ / kM_R47_ubiquinol_6_m_ ) ) / ( ( 1 + NADH_c_ / kM_R47_NADH_c_ ) * ( 1 + ubiquinone_6_m_ / kM_R47_ubiquinone_6_m_ ) + ( 1 + NAD_c_ / kM_R47_NAD_c_ ) * ( 1 + ubiquinol_6_m_ / kM_R47_ubiquinol_6_m_ ) - 1 )
RIP1	ubiquinol_6_m_ + 2 Ferricytochrome_c_m_ + 2 H_m_ <=> ubiquinone_6_m_ + 2 Ferrocytochrome_c_m_ + 2 H_i_	RIP1	RIP1		TRUE	YLL041C	Common saturable (CM)	"u_R48 * ( kC_R48 * sqrt( kEQ_R48  * kM_R48_ubiquinol_6_m_ * power( kM_R48_Ferricytochrome_c_m_ , 2 ) * power( kM_R48_H_m_ , 2 ) / kM_R48_ubiquinone_6_m_ / power( kM_R48_Ferrocytochrome_c_m_ , 2 ) / power( kM_R48_H_i_ , 2 ) ) * ( ubiquinol_6_m_ / kM_R48_ubiquinol_6_m_ ) * power( Ferricytochrome_c_m_ / kM_R48_Ferricytochrome_c_m_ , 2 ) * power( H_m_ / kM_R48_H_m_ , 2 ) - kC_R48 / sqrt( kEQ_R48  * kM_R48_ubiquinol_6_m_ * power( kM_R48_Ferricytochrome_c_m_ , 2 ) * power( kM_R48_H_m_ , 2 ) / kM_R48_ubiquinone_6_m_ / power( kM_R48_Ferrocytochrome_c_m_ , 2 ) / power( kM_R48_H_i_ , 2 ) ) * ( ubiquinone_6_m_ / kM_R48_ubiquinone_6_m_ ) * power( Ferrocytochrome_c_m_ / kM_R48_Ferrocytochrome_c_m_ , 2 ) * power( H_i_ / kM_R48_H_i_ , 2 ) ) / ( ( 1 + ubiquinol_6_m_ / kM_R48_ubiquinol_6_m_ ) * power( 1 + Ferricytochrome_c_m_ / kM_R48_Ferricytochrome_c_m_ , 2 ) * power( 1 + H_m_ / kM_R48_H_m_ , 2 ) + ( 1 + ubiquinone_6_m_ / kM_R48_ubiquinone_6_m_ ) * power( 1 + Ferrocytochrome_c_m_ / kM_R48_Ferrocytochrome_c_m_ , 2 ) * power( 1 + H_i_ / kM_R48_H_i_ , 2 ) - 1 )"
COX1	0.25 O2_c_ + Ferrocytochrome_c_m_ + 2 H_m_ <=> Ferricytochrome_c_m_ + H_i_ + 0.50 H2O_m_	COX1	COX1	R00081	TRUE	YML120C	Common saturable (CM)	"u_R49 * ( kC_R49 * sqrt( kEQ_R49  * power( kM_R49_O2_c_ , 2.500000e-01 ) * kM_R49_Ferrocytochrome_c_m_ * power( kM_R49_H_m_ , 2 ) / kM_R49_Ferricytochrome_c_m_ / kM_R49_H_i_ / power( kM_R49_H2O_m_ , 5.000000e-01 ) ) * power( O2_c_ / kM_R49_O2_c_ , 2.500000e-01 ) * ( Ferrocytochrome_c_m_ / kM_R49_Ferrocytochrome_c_m_ ) * power( H_m_ / kM_R49_H_m_ , 2 ) - kC_R49 / sqrt( kEQ_R49  * power( kM_R49_O2_c_ , 2.500000e-01 ) * kM_R49_Ferrocytochrome_c_m_ * power( kM_R49_H_m_ , 2 ) / kM_R49_Ferricytochrome_c_m_ / kM_R49_H_i_ / power( kM_R49_H2O_m_ , 5.000000e-01 ) ) * ( Ferricytochrome_c_m_ / kM_R49_Ferricytochrome_c_m_ ) * ( H_i_ / kM_R49_H_i_ ) * power( H2O_m_ / kM_R49_H2O_m_ , 5.000000e-01 ) ) / ( power( 1 + O2_c_ / kM_R49_O2_c_ , 2.500000e-01 ) * ( 1 + Ferrocytochrome_c_m_ / kM_R49_Ferrocytochrome_c_m_ ) * power( 1 + H_m_ / kM_R49_H_m_ , 2 ) + ( 1 + Ferricytochrome_c_m_ / kM_R49_Ferricytochrome_c_m_ ) * ( 1 + H_i_ / kM_R49_H_i_ ) * power( 1 + H2O_m_ / kM_R49_H2O_m_ , 5.000000e-01 ) - 1 )"
ATP1	3 H_i_ + ADP_m_ + PI_m_ <=> 3 H_m_ + ATP_m_ + H2O_m_	ATP1	ATP1		TRUE	YMR145C	Common saturable (CM)	"u_R50 * ( kC_R50 * sqrt( kEQ_R50  * power( kM_R50_H_i_ , 3 ) * kM_R50_ADP_m_ * kM_R50_PI_m_ / power( kM_R50_H_m_ , 3 ) / kM_R50_ATP_m_ / kM_R50_H2O_m_ ) * power( H_i_ / kM_R50_H_i_ , 3 ) * ( ADP_m_ / kM_R50_ADP_m_ ) * ( PI_m_ / kM_R50_PI_m_ ) - kC_R50 / sqrt( kEQ_R50  * power( kM_R50_H_i_ , 3 ) * kM_R50_ADP_m_ * kM_R50_PI_m_ / power( kM_R50_H_m_ , 3 ) / kM_R50_ATP_m_ / kM_R50_H2O_m_ ) * power( H_m_ / kM_R50_H_m_ , 3 ) * ( ATP_m_ / kM_R50_ATP_m_ ) * ( H2O_m_ / kM_R50_H2O_m_ ) ) / ( power( 1 + H_i_ / kM_R50_H_i_ , 3 ) * ( 1 + ADP_m_ / kM_R50_ADP_m_ ) * ( 1 + PI_m_ / kM_R50_PI_m_ ) + power( 1 + H_m_ / kM_R50_H_m_ , 3 ) * ( 1 + ATP_m_ / kM_R50_ATP_m_ ) * ( 1 + H2O_m_ / kM_R50_H2O_m_ ) - 1 )"
%								
!!SBtab TableName='Compound' TableType='Compound' Document='reducedYeast_ECM' Date='2018-11-23' SBtabVersion='1.0'								
!ID	!Name	!NameForPlots	!Identifiers:kegg.compound	!IsConstant				
MAL_m_	(S)-malate	MAL[m]	C00149	FALSE				
AKG_m_	2-oxoglutarate	AKG[m]	C00026	FALSE				
P2G_c_	2-phospho-D-glyceric acid	P2G[c]	C00631	FALSE				
P3G_c_	3-phospho-D-glycerate	P3G[c]	C00197	FALSE				
P13G_c_	"1,3-bisphospho-D-glycerate"	P13G[c]	C00236	FALSE				
G15L_c_	"6-O-phosphono-D-glucono-1,5-lactone"	G15L[c]	C01236	FALSE				
P6G_c_	6-phospho-D-gluconate	P6G[c]	C00345	FALSE				
ACA_c_	acetaldehyde	ACA[c]	C00084	FALSE				
AC_c_	acetate	AC[c]	C00033	FALSE				
ACCOA_c_	acetyl-CoA	ACCOA[c]	C00024	FALSE				
ACCOA_m_	acetyl-CoA	ACCOA[m]	C00024	FALSE				
ADP_c_	ADP	ADP[c]	C00008	FALSE				
GLC_c_	alpha-D-glucose	GLC[c]	C00031	FALSE				
G6P_c_	alpha-D-glucose 6-phosphate	G6P[c]	C00092	FALSE				
ATP_c_	ATP	ATP[c]	C00002	FALSE				
AMP_c_	AMP	AMP[c]	C00020	FALSE				
F16P_c_	"D-fructose 1,6-bisphosphate"	F16P[c]	C00354	FALSE				
F6P_c_	D-fructose 6-phosphate	F6P[c]	C00085	FALSE				
BIOMASS_c_	biomass	BIOMASS[c]		FALSE				
CI_m_	citrate	CI[m]	C00158	FALSE				
CO2_c_	CO2	CO2[c]	C00011	FALSE				
CO2_m_	CO2	CO2[m]	C00011	FALSE				
COA_c_	coenzyme A	COA[c]	C00010	FALSE				
COA_m_	coenzyme A	COA[m]	C00010	FALSE				
E4P_c_	D-erythrose 4-phosphate	E4P[c]	C00279	FALSE				
GA3P_c_	D-glyceraldehyde 3-phosphate	GA3P[c]	C00661	FALSE				
R5P_c_	D-ribose 5-phosphate	R5P[c]	C03736	FALSE				
RU5P_c_	D-ribulose 5-phosphate	RU5P[c]	C00199	FALSE				
X5P_c_	D-xylulose 5-phosphate	X5P[c]	C00231	FALSE				
ETH_c_	ethanol	ETH[c]	C00469	FALSE				
FUM_m_	fumarate	FUM[m]	C00122	FALSE				
GP_c_	glycerol-3-phosphate	GP[c]	C00093	FALSE				
GLY_c_	glycerol	GLY[c]	C00116	FALSE				
DHAP_c_	dihydroxyacetone phosphate	DHAP[c]	C00111	FALSE				
ICI_m_	isocitrate	ICI[m]	C00311	FALSE				
NAD_c_	nad+	NAD[c]	C00003	FALSE				
NAD_m_	nad+	NAD[m]	C00003	FALSE				
NADH_c_	NADH	NADH[c]	C00004	FALSE				
NADH_m_	NADH	NADH[m]	C00004	FALSE				
NADP_c_	nadp+	NADP[c]	C00006	FALSE				
NADP_m_	nadp+	NADP[m]	C00006	FALSE				
NADPH_c_	NADPH	NADPH[c]	C00005	FALSE				
